feature,importance
CREDIT_TERM,1664.4
EXT_SOURCE_MEAN,1048.2
AMT_ANNUITY,883.6
EXT_SOURCE_3,870.8
DAYS_ID_PUBLISH,870.2
EXT_SOURCE_2,865.2
PREV_AMT_ANNUITY_MEAN,844.0
EXT_SOURCE_MIN,841.6
BURO_DAYS_CREDIT_MAX,824.0
POS_CNT_INSTALMENT_MEAN,813.8
DAYS_REGISTRATION,811.8
DAYS_BIRTH,789.2
DAYS_LAST_PHONE_CHANGE,766.4
POS_COUNT,748.6
PREV_APP_CREDIT_RATIO,740.2
BURO_AMT_CREDIT_SUM_MEAN,739.8
ANNUITY_INCOME_RATIO,717.8
INS_DAYS_LATE_MEAN,705.4
PREV_DAYS_DECISION_MIN,700.6
PREV_DAYS_DECISION_MEAN,671.6
EXT_SOURCE_PRODUCT,669.2
INS_AMT_PAYMENT_SUM,668.2
INS_AMT_PAYMENT_MEAN,663.6
EXT_SOURCE_1,656.4
PREV_CNT_PAYMENT_MEAN,654.6
REGION_POPULATION_RELATIVE,647.2
CREDIT_INCOME_RATIO,630.2
PREV_LOAN_DIFF_MEAN,618.2
EXT_SOURCE_STD,611.8
BURO_DAYS_CREDIT_MEAN,605.6
AGE_YEARS,600.0
EMPLOYED_TO_AGE_RATIO,594.8
BURO_CREDIT_DURATION_MEAN,594.2
PREV_AMT_CREDIT_MAX,589.4
BURO_AMT_CREDIT_SUM_DEBT_MEAN,587.8
AMT_CREDIT,579.6
BURO_DAYS_CREDIT_MIN,577.4
AMT_GOODS_PRICE,572.0
GOODS_CREDIT_RATIO,565.8
BURO_AMT_CREDIT_SUM_SUM,551.4
BURO_CREDIT_DURATION_MAX,543.2
INS_DAYS_LATE_MAX,536.0
POS_MONTHS_BALANCE_MAX,512.8
INS_PAID_LATE_RATIO,507.6
DAYS_EMPLOYED,492.2
INS_COUNT,483.8
PREV_AMT_CREDIT_MEAN,478.6
INCOME_PER_PERSON,463.2
BURO_AMT_CREDIT_SUM_DEBT_SUM,442.6
PREV_DOWN_RATIO_MEAN,382.0
AMT_INCOME_TOTAL,376.2
PREV_APPROVED_RATIO,361.6
BURO_BB_MONTHS_COUNT_SUM,353.2
INS_PAYMENT_DIFF_MEAN,350.2
BURO_CREDIT_REPAID_MEAN,343.8
INS_PAYMENT_DIFF_MAX,334.6
PREV_RATE_DOWN_MEAN,319.2
INS_PAYMENT_RATIO_MEAN,289.0
HOUR_APPR_PROCESS_START,281.0
INS_PAYMENT_RATIO_MIN,263.2
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,256.0
EMPLOYED_YEARS,252.4
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,251.0
TOTALAREA_MODE,225.8
CODE_GENDER,224.4
YEARS_BEGINEXPLUATATION_MODE,207.0
BURO_ACTIVE_COUNT,202.0
PREV_APPROVED_COUNT,201.8
BURO_CREDIT_COUNT,199.6
LANDAREA_MODE,196.8
PREV_REFUSED_COUNT,195.8
POS_SK_DPD_DEF_MEAN,192.0
PREV_COUNT,191.2
INS_PAID_FULL_RATIO,181.2
APARTMENTS_MODE,180.6
BASEMENTAREA_MODE,180.2
DOCUMENT_COUNT,176.0
NONLIVINGAREA_AVG,171.6
LIVINGAREA_MODE,170.2
FLAG_OWN_CAR,167.4
BURO_CREDIT_REPAID_SUM,164.2
BURO_AMT_ANNUITY_SUM,157.6
APARTMENTS_AVG,156.0
YEARS_BEGINEXPLUATATION_AVG,151.2
CREDIT_ENQUIRY_TOTAL,150.8
BASEMENTAREA_AVG,150.2
LANDAREA_AVG,149.4
REGION_RATING_CLIENT_W_CITY,149.0
NONLIVINGAREA_MODE,146.4
LIVINGAREA_AVG,145.0
BASEMENTAREA_MEDI,142.4
NAME_FAMILY_STATUS_Married,137.2
LANDAREA_MEDI,136.8
APARTMENTS_MEDI,136.6
YEARS_BEGINEXPLUATATION_MEDI,134.4
NONLIVINGAREA_MEDI,134.2
OBS_60_CNT_SOCIAL_CIRCLE,128.0
POS_DPD_POSITIVE_RATIO,119.0
LIVINGAREA_MEDI,114.4
NAME_EDUCATION_TYPE_Higher education,110.2
AMT_REQ_CREDIT_BUREAU_YEAR,103.8
FLAG_WORK_PHONE,103.8
