feature,mean_abs_shap,description
EXT_SOURCE_MEAN,0.4661041302960029,Average external credit score (3 bureaus)
CREDIT_TERM,0.11963029960266373,Monthly repayment as fraction of total credit
CODE_GENDER,0.1167925163201855,Code Gender
GOODS_CREDIT_RATIO,0.11556730719963351,Goods price relative to credit amount
POS_COUNT,0.10560414892603276,Pos Count
INS_PAID_LATE_RATIO,0.09744036816638828,Fraction of installments paid late
AMT_ANNUITY,0.09307723830843954,Monthly loan annuity payment
PREV_AMT_ANNUITY_MEAN,0.07843522560208882,Prev Amt Annuity Mean
FLAG_OWN_CAR,0.07104491855538692,Flag Own Car
INS_DAYS_LATE_MAX,0.06805690209060468,Worst late payment (days)
EXT_SOURCE_PRODUCT,0.06784088533877373,Combined product of all 3 external scores
EXT_SOURCE_MIN,0.06626719778931425,Lowest of the 3 external credit scores
PREV_CNT_PAYMENT_MEAN,0.06621085713951357,Prev Cnt Payment Mean
EXT_SOURCE_3,0.06420623642171991,External credit score — source 3
PREV_APP_CREDIT_RATIO,0.06348845474494039,Prev App Credit Ratio
NAME_EDUCATION_TYPE_Higher education,0.06240449434490517,Name Education Type Higher Education
POS_CNT_INSTALMENT_MEAN,0.06160225472687214,Pos Cnt Instalment Mean
NAME_FAMILY_STATUS_Married,0.06058725030130996,Name Family Status Married
BURO_AMT_CREDIT_SUM_DEBT_MEAN,0.059656562404298244,Buro Amt Credit Sum Debt Mean
AMT_GOODS_PRICE,0.05775506938793395,Price of goods for the loan
DAYS_ID_PUBLISH,0.05339691775007733,Days since ID was last changed
EXT_SOURCE_2,0.052512325612899056,External credit score — source 2
POS_MONTHS_BALANCE_MAX,0.05208562112664972,Pos Months Balance Max
INS_AMT_PAYMENT_SUM,0.047380846028208634,Ins Amt Payment Sum
DAYS_BIRTH,0.04411670533840578,Days since applicant birth (age proxy)
PREV_AMT_CREDIT_MAX,0.043656971545251944,Highest previous loan amount
DAYS_EMPLOYED,0.0427525928906392,Days since employment started
PREV_REFUSED_COUNT,0.03965739539802549,Number of previously refused applications
PREV_DAYS_DECISION_MIN,0.03963884351471217,Days since most recent previous application
EMPLOYED_TO_AGE_RATIO,0.0378629957546494,Employment length relative to age
BURO_DAYS_CREDIT_MAX,0.03671442069128701,Buro Days Credit Max
DOCUMENT_COUNT,0.03667472239728933,Number of documents submitted
EXT_SOURCE_1,0.034887662054485714,External credit score — source 1
AGE_YEARS,0.033475039806664074,Applicant age in years
FLAG_DOCUMENT_3,0.032498848772025045,Flag Document 3
REGION_POPULATION_RELATIVE,0.032070154141023585,Region Population Relative
PREV_APPROVED_RATIO,0.03132616885104716,Fraction of previous applications approved
ANNUITY_INCOME_RATIO,0.031139521418794645,Monthly annuity payment relative to income
BURO_AMT_CREDIT_SUM_MEAN,0.029680719542445697,Buro Amt Credit Sum Mean
AMT_CREDIT,0.028961289538812388,Total loan credit amount applied for
FLAG_WORK_PHONE,0.028583121625436032,Flag Work Phone
NAME_INCOME_TYPE_Working,0.028572055512076384,Name Income Type Working
BURO_BB_MONTHS_COUNT_SUM,0.028153195040777183,Buro Bb Months Count Sum
AMT_REQ_CREDIT_BUREAU_QRT,0.02810639630397508,Amt Req Credit Bureau Qrt
DEF_30_CNT_SOCIAL_CIRCLE,0.027455905121962738,Def 30 Cnt Social Circle
BURO_CREDIT_DURATION_MAX,0.027099744802195878,Buro Credit Duration Max
BURO_DAYS_CREDIT_MEAN,0.026715388981903468,Buro Days Credit Mean
INS_AMT_PAYMENT_MEAN,0.026674589192004394,Ins Amt Payment Mean
PREV_DAYS_DECISION_MEAN,0.026461408643857605,Prev Days Decision Mean
BURO_CREDIT_DURATION_MEAN,0.02492674951542729,Buro Credit Duration Mean
REGION_RATING_CLIENT_W_CITY,0.024866348256396307,Region Rating Client W City
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,0.02454769927886698,Buro Amt Credit Max Overdue Max
BURO_CREDIT_REPAID_MEAN,0.024204082583322357,Fraction of bureau credits fully repaid
EMPLOYED_YEARS,0.024023916772303262,Years at current employer
DAYS_LAST_PHONE_CHANGE,0.023942671214543593,Days since phone number was changed
BURO_ACTIVE_COUNT,0.02341991785350975,Number of currently active bureau credits
INS_PAYMENT_DIFF_MAX,0.022576742577469066,Largest underpayment on installments
DAYS_REGISTRATION,0.022502086468940283,Days since registration document change
INS_COUNT,0.02126205920457229,Ins Count
NAME_EDUCATION_TYPE_Secondary / secondary special,0.019362393519012373,Name Education Type Secondary / Secondary Special
BURO_DAYS_CREDIT_MIN,0.01925096305300117,Most recent bureau credit (days ago)
BURO_AMT_CREDIT_SUM_DEBT_SUM,0.01892478654226076,Total current debt in bureau records
INS_DAYS_LATE_MEAN,0.018656033216565795,Average days late on installment payments
POS_SK_DPD_DEF_MEAN,0.018572883569857226,Pos Sk Dpd Def Mean
CREDIT_INCOME_RATIO,0.017927956648629253,Total credit amount relative to annual income
INS_PAYMENT_DIFF_MEAN,0.017564078943854793,Ins Payment Diff Mean
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.015008384334134227,Buro Amt Credit Max Overdue Mean
PREV_LOAN_DIFF_MEAN,0.01450189345785703,Average gap between applied and approved amount
ORGANIZATION_TYPE_Self-employed,0.014469030708691688,Organization Type Self-Employed
BURO_AMT_CREDIT_SUM_SUM,0.01441513777414689,Total outstanding debt across all bureau credits
OCCUPATION_TYPE_Core staff,0.014090449207530368,Occupation Type Core Staff
REG_CITY_NOT_LIVE_CITY,0.013720437965286911,Reg City Not Live City
WALLSMATERIAL_MODE_Panel,0.013481383379226029,Wallsmaterial Mode Panel
ORGANIZATION_TYPE_Business Entity Type 3,0.012552996765490336,Organization Type Business Entity Type 3
PREV_DOWN_RATIO_MEAN,0.012447558547172185,Prev Down Ratio Mean
INS_PAYMENT_RATIO_MEAN,0.012286513686315354,Ins Payment Ratio Mean
PREV_RATE_DOWN_MEAN,0.012198298794312846,Prev Rate Down Mean
PREV_COUNT,0.011873136373593655,Number of previous loan applications
INCOME_PER_PERSON,0.01154594090055413,Income divided by number of family members
PREV_APPROVED_COUNT,0.011059122186880568,Prev Approved Count
